"user_id","status_id","created_at","screen_name","text","source","retweet_count","reply_count","is_retweet"
807095,1215335555598372864,"2020-01-09 18:12:30","nytimes","Iran has invited U.S. officials to assist in the investigation, despite previous reports that the Americans would not be involved. Ukraine is reportedly in negotiations with Iran to search the crash site for possible rocket fragments.
https://t.co/aJTgLlvVbN","Twitter Web App",238,52,FALSE
807095,1215332496721743872,"2020-01-09 18:00:21","nytimes","Breaking News: U.S. officials say they have a ""high level of confidence"" that Iran accidentally shot down the Ukrainian passenger plane that went down this week, killing at least 176 people.
https://t.co/qdAjhRYmCR","SocialFlow",627,316,FALSE
807095,1215330628847177728,"2020-01-09 17:52:56","nytimes","OUR COVER THIS WEEK: @robertfworth profiles Mohammed bin Zayed al-Nahyan.

In the first on-record interview, the enigmatic ruler of the United Arab Emirates (and one of the most powerful men on Earth) reveals his dark vision of the Middle East's future. 

https://t.co/EanYgrkvmK https://t.co/ucPe0OCsjt","TweetDeck",0,0,TRUE
807095,1215327405658734592,"2020-01-09 17:40:07","nytimes","Speaker Nancy Pelosi again declined to send the articles of impeachment against President Trump to the Senate for trial on Thursday, despite growing calls to do so
https://t.co/CK8RpQjI63","SocialFlow",107,105,FALSE
807095,1215327398687801344,"2020-01-09 17:40:06","nytimes","""There’s a shared feeling of helplessness."" Our San Francisco bureau chief @thomasfullerNYT has covered deadly wildfires in California for years. He's now in Australia, reporting on the devastating fires there. https://t.co/YagYOrX2Im","SocialFlow",53,3,FALSE
807095,1215324882323615744,"2020-01-09 17:30:06","nytimes","A judge in Brazil ordered Netflix to take down a satirical film released in December that portrays Jesus as a gay man, arguing that it stands to do ""irreparable damage"" to the nation's Christians. As of now, the film is still accessible in Brazil. 
https://t.co/dvgged4yg7","SocialFlow",169,138,FALSE
807095,1215322365967642624,"2020-01-09 17:20:06","nytimes","The writer and actor Buck Henry has died at age 89. He had an often overlooked but potent influence on comedy: He created ""Get Smart"" with Mel Brooks, wrote ""The Graduate,"" appeared on ""SNL"" several times and played Liz Lemon's father on ""30 Rock.""
https://t.co/dJVUhn1roL","SocialFlow",105,27,FALSE
807095,1215319946659536896,"2020-01-09 17:10:29","nytimes","Want to know how we picked the list? And what's behind our #1 spot? My explainer is here. https://t.co/WFhU8wS2oe https://t.co/DA0PkB1r51","TweetDeck",0,0,TRUE
807095,1215317352792973312,"2020-01-09 17:00:11","nytimes","2 men in New York were killed early Thursday morning after a shooting involving police officers broke out near Tompkins Square Park in the East Village, police said https://t.co/oAKXYsGpUw","SocialFlow",28,15,FALSE
807095,1215312295632482304,"2020-01-09 16:40:05","nytimes","Liberty National, an exclusive private golf course where the original initiation fee for members was about half a million dollars, wants to expand into nearly 22 acres of public parkland in Jersey City
https://t.co/OdnrT8MpSP","SocialFlow",77,29,FALSE
807095,1215307266771111936,"2020-01-09 16:20:06","nytimes","A year ago, a measles outbreak forced the Northwest to confront its low vaccination rates. This week, Seattle students not in compliance faced a deadline. https://t.co/xNgYUtI8Hl","SocialFlow",56,8,FALSE
807095,1215305001024647168,"2020-01-09 16:11:06","nytimes","“A cheerful life lived in ignorance of important facts about your situation is worse than a less agreeable one lived with the truth,” writes The Ethicist https://t.co/dFdH9A6i8U","SocialFlow",67,33,FALSE
807095,1215302268234469376,"2020-01-09 16:00:14","nytimes","Scientists knew a meteorite impact had flung debris all over the world, but where it struck has remained a mystery https://t.co/ZYSOBx82Kq","SocialFlow",41,6,FALSE
807095,1215297196876271616,"2020-01-09 15:40:05","nytimes","How many squirrels are in New York's Central Park? The Squirrel Census counted to find out. https://t.co/9mHgp1Qpa1 https://t.co/V2opXvZmNY","SocialFlow",128,49,FALSE
807095,1215294710635487232,"2020-01-09 15:30:12","nytimes","More than 80 women have come forward with allegations of sexual misconduct against Harvey Weinstein, but as he goes on trial in New York, the criminal charges center on just 2. The story of Lucia Evans helps explain why on today's episode of The Daily. https://t.co/URgTXNI6kN","SocialFlow",59,28,FALSE
807095,1215292168316903424,"2020-01-09 15:20:06","nytimes","In Opinion 

""Voters want authenticity, not scare tactics or laughable digital and TV ads that even my 10-year-old daughter calls 'phony,'"" writes Kristee Paschall https://t.co/AOE0uuYskE","SocialFlow",36,14,FALSE
807095,1215287186800750592,"2020-01-09 15:00:18","nytimes","NASA scientists and engineers successfully field tested Bruie — the “Buoyant Rover for Under-Ice Exploration” — beneath the ice of eastern Antarctica. An onboard camera revealed an Antarctica even more alien than the surface.  https://t.co/pQ3AO7vRI4","SocialFlow",107,11,FALSE
807095,1215287113505099776,"2020-01-09 15:00:01","nytimes","<U+23F3>

<U+231B><U+FE0F>

<U+23F3>

<U+231B><U+FE0F>

Time is running out.
Save now.","Twitter for Advertisers (legacy)",2,43,FALSE
807095,1215287111022084096,"2020-01-09 15:00:00","nytimes","Going.
Going.
Going.
Gone.
Just kidding, there’s a little more time.","Twitter for Advertisers (legacy)",8,104,FALSE
807095,1215287108652453888,"2020-01-09 15:00:00","nytimes","<U+0001F550>Tick.
<U+0001F551>Tick.
<U+0001F552>Tick.

Save now before time runs out.","Twitter for Advertisers (legacy)",9,65,FALSE
807095,1215286184395583488,"2020-01-09 14:56:19","nytimes","In Opinion

""Let us not go again to war. Let us not go to war because we cannot afford to 'win' another war. There would be no winning this war,"" writes Farhad Manjoo. https://t.co/yCAX0gR7Y2","SocialFlow",161,77,FALSE
807095,1215284733124530176,"2020-01-09 14:50:33","nytimes","British lawmakers, once bitterly split on how and whether to leave the European Union, are expected to agree on withdrawal at the end of the month https://t.co/isGXa7jlAX","SocialFlow",47,24,FALSE
807095,1215276501983277056,"2020-01-09 14:17:51","nytimes","Breaking News: An environmental law may become much weaker. The White House wants to let many pipelines and other major projects go ahead without review. https://t.co/HjDlVYR4Vi","SocialFlow",552,135,FALSE
807095,1215272069174300672,"2020-01-09 14:00:14","nytimes","It turns out that shouting repeated encouragements during an exercise class — “Rise out of the saddle and push!” or “Trust yourself!” — can be an occupational hazard. https://t.co/BekkrRGcDX","SocialFlow",25,42,FALSE
807095,1215266988156694528,"2020-01-09 13:40:03","nytimes","In Opinion

""What are lessons for 2020? Expect a terrifying year. What drives Americans to extremes is not losing an election but the fear of losing for all time,"" writes Steve Inskeep. https://t.co/ViicL68Lg1","SocialFlow",92,28,FALSE
807095,1215261971374841856,"2020-01-09 13:20:07","nytimes","There is a way that people generally run for president. And there is the way Michael Bloomberg is doing it. https://t.co/aah2oaDKN6","SocialFlow",31,26,FALSE
807095,1215260104884252672,"2020-01-09 13:12:42","nytimes","A day after President Trump backed away from further military conflict with Iran, a commander of the country’s Islamic Revolutionary Guards Corps said that Iran would soon take “harsher revenge” on the U.S. https://t.co/gqKzTp4Q2J","SocialFlow",172,124,FALSE
807095,1215254935752843264,"2020-01-09 12:52:09","nytimes","Investigators will look into the possibility that a missile shot down the Ukrainian passenger jet that crashed in Iran, a senior Ukrainian official said.

He did not rule out a range of other possibilities for the disaster that killed at least 176 people. https://t.co/WLu7iyqid0","SocialFlow",104,39,FALSE
807095,1215246868218830848,"2020-01-09 12:20:06","nytimes","We picked 52 destinations that we hope will inspire, delight and motivate you to explore the world. How did we choose them?  https://t.co/zWGB28FDgR","SocialFlow",59,26,FALSE
807095,1215241863722164224,"2020-01-09 12:00:13","nytimes","""It’s an adorable, adorable animal.""

Australian scientists wonder which of the country’s remarkable native insect species may have been lost to the wildfires. https://t.co/YY1hDsKUQR","SocialFlow",127,19,FALSE
